gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	switchConsequencesGene	Rank
geneComp_00068158	gene-FBLN2	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.009688025419047551	TRUE	86
geneComp_00068315	gene-FHIP1A	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.009688025419047551	TRUE	87
geneComp_00089520	gene-FHIP1A	NA	Muscle_PDExp_Hib	Muscle_PDExp_Fed	0.010845620499447761	TRUE	88
geneComp_00054807	gene-LOC125282858	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.011359378351466614	TRUE	89
geneComp_00110230	gene-ERI3	NA	Muscle_PDExp_Hib	Muscle_PDExp_NotFed	0.01174135891312441	TRUE	90
geneComp_00105854	gene-ZNF532	NA	Muscle_PDExp_Hib	Muscle_PDExp_Fed	0.011794310179346007	TRUE	91
geneComp_00038125	gene-RNF8	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hyp	0.01182593132562135	TRUE	92
geneComp_00018219	gene-SNRPF	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.012306576182236389	TRUE	93
geneComp_00049149	gene-KLHL38	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.012402311911492166	TRUE	94
geneComp_00042554	gene-ACO1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.012889758795084146	TRUE	95
geneComp_00062065	gene-TOR1AIP1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.014169649146444762	TRUE	96
geneComp_00048745	gene-ITGA7	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.015855107790422852	TRUE	97
geneComp_00000459	gene-AKT2	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.018549701125022643	TRUE	98
geneComp_00012397	gene-LOC125282858	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.01886690385828691	TRUE	99
geneComp_00018569	gene-STAC3	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.01886690385828691	TRUE	100
geneComp_00064196	gene-ANK2	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.01918334163036296	TRUE	101
geneComp_00056916	gene-NOC2L	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.019906141381420175	TRUE	102
geneComp_00013113	gene-LSM14A	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.020726092525080373	TRUE	103
geneComp_00044454	gene-CD99	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.02074655495345495	TRUE	104
geneComp_00047116	gene-FHL2	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.02074655495345495	TRUE	105
geneComp_00003625	gene-DNAJC7	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.02114475632238478	TRUE	106
geneComp_00089345	gene-FASTK	NA	Muscle_PDExp_Hib	Muscle_PDExp_Fed	0.021513179180785415	TRUE	107
geneComp_00001670	gene-CAPN7	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.023230093383566557	TRUE	108
geneComp_00077993	gene-NFIA	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.026271682777931626	TRUE	109
geneComp_00065957	gene-CHD2	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.026474564349596684	TRUE	110
geneComp_00061686	gene-TM6SF1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.027845827782188085	TRUE	111
geneComp_00052760	gene-LOC113270514	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.02788153332969225	TRUE	112
geneComp_00049014	gene-KIAA0100	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.028006450542163212	TRUE	113
geneComp_00049028	gene-KIAA1191	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.028006450542163212	TRUE	114
geneComp_00043091	gene-AP1B1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.02819886420570632	TRUE	115
